PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DFT_YR,DFT_RND,DFT_NUM
Blake Griffin,DET,30,6 10,250,Oklahoma,USA,2009,1,1
Boban Marjanovic,PHI,30,7 3,290,None,Serbia,Undrafted,Undrafted,Undrafted
Bobby Portis,WAS,24,6 11,250,Arkansas,USA,2015,1,22
Bogdan Bogdanovic,SAC,26,6 6,205,None,Serbia,2014,1,27
Bojan Bogdanovic,IND,30,6 8,216,None,Croatia,2011,2,31
Bonzie Colson,MIL,23,6 6,225,Notre Dame,USA,Undrafted,Undrafted,Undrafted
Brad Wanamaker,BOS,29,6 4,210,None,USA,Undrafted,Undrafted,Undrafted
Bradley Beal,WAS,26,6 5,207,Florida,USA,2012,1,3
Brandon Goodwin,DEN,23,6 2,180,None,USA,Undrafted,Undrafted,Undrafted
Brandon Ingram,LAL,21,6 9,190,Duke,USA,2016,1,2
Brandon Knight,CLE,27,6 3,195,Kentucky,USA,2011,1,8
Brandon Sampson,CHI,22,6 5,184,None,USA,Undrafted,Undrafted,Undrafted
Brook Lopez,MIL,31,7 1,270,Stanford,USA,2008,1,10
Bruce Brown,DET,22,6 5,202,University of Miami,USA,2018,2,42
Bruno Caboclo,MEM,23,6 9,218,None,Brazil,2014,1,20
Bryn Forbes,SAS,25,6 3,190,Michigan State,USA,Undrafted,Undrafted,Undrafted
Buddy Hield,SAC,26,6 4,214,Oklahoma,Bahamas,2016,1,6
C.J. Williams,MIN,29,6 5,226,North Carolina State,USA,Undrafted,Undrafted,Undrafted
CJ McCollum,POR,27,6 3,190,Lehigh,USA,2013,1,10
CJ Miles,MEM,32,6 6,220,None,USA,2005,2,34
Caleb Swanigan,SAC,22,6 9,250,Purdue,USA,2017,1,26
Cameron Payne,CLE,24,6 3,190,Murray State,USA,2015,1,14
Cameron Reynolds,MIN,24,6 8,225,None,USA,Undrafted,Undrafted,Undrafted
Caris LeVert,BKN,24,6 7,204,Michigan,USA,2016,1,20
Carmelo Anthony,HOU,35,6 8,240,Syracuse,USA,2003,1,3
Cedi Osman,CLE,24,6 8,215,None,Turkey,2015,2,31
Chandler Hutchison,CHI,23,6 7,197,Boise State University,USA,2018,1,22
Chandler Parsons,MEM,30,6 10,230,Florida,USA,2011,2,38
Channing Frye,CLE,36,7 1,255,Arizona,USA,2005,1,8
Chasson Randle,WAS,26,6 2,185,Stanford,USA,Undrafted,Undrafted,Undrafted
Cheick Diallo,NOP,22,6 9,220,Kansas,Mali,2016,2,33
Chimezie Metu,SAS,22,6 10,225,University of Southern California,USA,2018,2,49
Chris Boucher,TOR,26,6 10,200,Oregon,Canada,Undrafted,Undrafted,Undrafted
Chris Chiozza,HOU,23,6 1,175,None,USA,Undrafted,Undrafted,Undrafted
Chris Paul,HOU,34,6 1,175,Wake Forest,USA,2005,1,4
Christian Wood,NOP,23,6 10,214,UNLV,USA,Undrafted,Undrafted,Undrafted
Clint Capela,HOU,25,6 10,240,None,Switzerland,2014,1,25
Cody Zeller,CHA,26,7 1,240,Indiana,USA,2013,1,4
Collin Sexton,CLE,20,6 2,190,University of Alabama,USA,2018,1,8
Corey Brewer,SAC,33,6 9,186,Florida,USA,2007,1,7
Cory Joseph,IND,27,6 3,193,Texas,Canada,2011,1,29
Courtney Lee,DAL,33,6 5,215,Western Kentucky,USA,2008,1,22
Cristiano Felicio,CHI,26,6 10,265,None,Brazil,Undrafted,Undrafted,Undrafted
D'Angelo Russell,BKN,23,6 5,198,Ohio State,USA,2015,1,2
D.J. Augustin,ORL,31,6 1,183,Texas,USA,2008,1,9
D.J. Wilson,MIL,23,6 10,231,Michigan,USA,2017,1,17
DJ Stephens,MEM,28,6 5,188,Memphis,USA,Undrafted,Undrafted,Undrafted
Dairis Bertans,NOP,29,6 4,200,None,Latvia,Undrafted,Undrafted,Undrafted
Damian Jones,GSW,24,7 1,245,Vanderbilt,USA,2016,1,30
Damian Lillard,POR,28,6 3,195,Weber State,USA,2012,1,6
Damion Lee,GSW,26,6 6,210,Louisville,USA,Undrafted,Undrafted,Undrafted
Damyean Dotson,NYK,25,6 6,210,Houston,USA,2017,2,44
Daniel Hamilton,ATL,23,6 7,195,Connecticut,USA,2016,2,56
Daniel Theis,BOS,27,6 8,243,None,Germany,Undrafted,Undrafted,Undrafted
Danilo Gallinari,LAC,30,6 10,225,None,Italy,2008,1,6
Danny Green,TOR,32,6 6,215,North Carolina,USA,2009,2,46
Dante Cunningham,SAS,32,6 8,230,Villanova,USA,2009,2,33
Dante Exum,UTA,23,6 6,190,None,Australia,2014,1,5
Danuel House Jr.,HOU,26,6 7,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Dario Saric,MIN,25,6 10,223,None,Croatia,2014,1,12
Darius Miller,NOP,29,6 8,225,Kentucky,USA,2012,2,46
Darren Collison,IND,31,6 1,175,UCLA,USA,2009,1,21
Daryl Macon,DAL,23,6 3,185,University of Arkansas,USA,Undrafted,Undrafted,Undrafted
David Nwaba,CLE,26,6 4,219,None,USA,Undrafted,Undrafted,Undrafted
Davis Bertans,SAS,26,6 10,225,None,Latvia,2011,2,42
Davon Reed,IND,24,6 5,208,Miami,USA,2017,2,32
De'Aaron Fox,SAC,21,6 3,175,Kentucky,USA,2017,1,5
De'Anthony Melton,PHX,21,6 4,200,University of Southern California,USA,2018,2,46
DeAndre Jordan,NYK,30,6 11,265,Texas A&M,USA,2008,2,35
DeAndre' Bembry,ATL,24,6 6,210,"St. Joseph's, PA",USA,2016,1,21
DeMar DeRozan,SAS,29,6 7,220,USC,USA,2009,1,9
DeMarcus Cousins,GSW,28,6 11,270,Kentucky,USA,2010,1,5
DeMarre Carroll,BKN,32,6 8,215,Missouri,USA,2009,1,27
DeVaughn Akoon-Purcell,DEN,26,6 6,200,Illinois State University,Trinidad and ...,Undrafted,Undrafted,Undrafted
Deandre Ayton,PHX,20,7 1,250,University of Arizona,Bahamas,2018,1,1
Delon Wright,MEM,27,6 5,183,Utah,USA,2015,1,20
Demetrius Jackson,PHI,24,6 1,201,Notre Dame,USA,2016,2,45
Deng Adel,CLE,22,6 7,200,None,South Sudan,Undrafted,Undrafted,Undrafted
Dennis Schroder,OKC,25,6 1,172,None,Germany,2013,1,17
Dennis Smith Jr.,NYK,21,6 3,195,North Carolina State,USA,2017,1,9
Deonte Burton,OKC,25,6 5,245,Iowa State,USA,Undrafted,Undrafted,Undrafted
Derrick Favors,UTA,27,6 10,265,Georgia Tech,USA,2010,1,3
Derrick Jones Jr.,MIA,22,6 7,200,UNLV,USA,Undrafted,Undrafted,Undrafted
Derrick Rose,MIN,30,6 3,200,Memphis,USA,2008,1,1
Derrick White,SAS,24,6 4,190,Colorado,USA,2017,1,29
Devin Booker,PHX,22,6 6,210,Kentucky,USA,2015,1,13
Devin Harris,DAL,36,6 3,185,Wisconsin,USA,2004,1,5
Devin Robinson,WAS,24,6 8,200,Florida,USA,Undrafted,Undrafted,Undrafted
Devonte' Graham,CHA,24,6 2,185,University of Kansas,USA,2018,2,34
Dewayne Dedmon,ATL,29,7 1,245,USC,USA,Undrafted,Undrafted,Undrafted
Deyonta Davis,ATL,22,6 11,237,Michigan State,USA,2016,2,31
Dillon Brooks,MEM,23,6 6,220,Oregon,Canada,2017,2,45
Dion Waiters,MIA,27,6 4,215,Syracuse,USA,2012,1,4
Dirk Nowitzki,DAL,41,7 1,245,None,Germany,1998,1,9
Domantas Sabonis,IND,23,6 11,240,Gonzaga,Lithuania,2016,1,11
Donatas Motiejunas,SAS,28,7 1,220,None,Lithuania,2011,1,20
Donovan Mitchell,UTA,22,6 3,215,Louisville,USA,2017,1,13
Donte DiVincenzo,MIL,22,6 4,203,Villanova University,USA,2018,1,17
Donte Grantham,OKC,24,6 8,215,Clemson University,USA,Undrafted,Undrafted,Undrafted
Dorian Finney-Smith,DAL,26,6 8,220,Florida,USA,Undrafted,Undrafted,Undrafted
Doug McDermott,IND,27,6 8,225,Creighton,USA,2014,1,11
Dragan Bender,PHX,21,7 1,225,None,Croatia,2016,1,4
Draymond Green,GSW,29,6 7,230,Michigan State,USA,2012,2,35
Drew Eubanks,SAS,22,6 10,245,None,USA,Undrafted,Undrafted,Undrafted
Duncan Robinson,MIA,25,6 8,210,Michigan,USA,Undrafted,Undrafted,Undrafted
Dusty Hannahs,MEM,25,6 4,195,Arkansas,USA,Undrafted,Undrafted,Undrafted
Dwayne Bacon,CHA,23,6 7,221,Florida State,USA,2017,2,40
Dwight Howard,WAS,33,6 11,265,None,USA,2004,1,1
Dwight Powell,DAL,27,6 11,240,Stanford,Canada,2014,2,45
Dwyane Wade,MIA,37,6 4,220,Marquette,USA,2003,1,5
Dzanan Musa,BKN,20,6 9,208,None,Bosnia and He...,2018,1,29
E'Twaun Moore,NOP,30,6 4,191,Purdue,USA,2011,2,55
Ed Davis,BKN,30,6 10,225,North Carolina,USA,2010,1,13
Edmond Sumner,IND,23,6 6,176,Xavier,USA,2017,2,52
Ekpe Udoh,UTA,32,6 10,245,Baylor,USA,2010,1,6
Elfrid Payton,NOP,25,6 4,185,Louisana-Lafayette,USA,2014,1,10
Elie Okobo,PHX,21,6 3,190,None,France,2018,2,31
Emanuel Terry,MIA,22,6 9,220,Lincoln Memorial (TN),USA,Undrafted,Undrafted,Undrafted
