Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Luol Deng,SF/PF,MIN,vs SAC,18,120.50,3700,4.6,33.6,14.8,0.8,0.82,29.55,10.72,8.29,5.66,16.8,5.5,18.0,19.00,17.02,17.02,100,,44,4.6,,26,22.50,6.1
Wilson Chandler,SF/PF,LAC,vs DAL,4,116.50,3700,0,13.8,17.8,2.0,0.67,24.30,8.49,6.89,0,11.2,5.8,26.4,0.00,0.00,0.00,100,,61,0,,,,
James Johnson,SF/PF,MIA,vs PHX,27,111.50,3700,0,16.4,17.3,2.3,0.83,29.89,10.48,8.21,0,18.9,7.0,20.8,0.00,0.00,0.00,100,,53,0,,,,
Alex Len,C,ATL,@ HOU,15,110.75,3700,0.3,40.4,20.6,1.0,1.08,39.10,14.69,11.45,6.32,21.9,7.6,19.0,15.50,17.49,17.49,100,,44,4.7,,9,3.50,0.9
E'Twaun Moore,SG/SF,NOP,vs PHI,14,119.25,3700,0,32.8,20.2,2.0,0.71,25.48,9.44,9.55,4.85,17.2,10.3,28.6,18.50,13.73,13.73,100,,53,3.7,,20,20.25,5.5
T.J. McConnell,PG/SG,PHI,@ NOP,14,121.25,3700,4.2,31.6,17.8,3.9,0.87,31.46,11.36,7.82,5.05,14.3,5.5,20.4,16.00,15.94,15.94,100,,56,4.3,,14,12.75,3.4
Jakob Poeltl,C,SAS,@ BKN,26,116.25,3700,4.3,30.9,14.8,1.2,0.99,35.53,12.47,7.60,5.02,14.1,3.5,15.0,14.50,15.71,15.71,100,,49,4.2,,11,12.75,3.4
Malik Monk,PG/SG,CHA,vs GSW,16,112.75,3700,0,28.9,16.6,1.8,0.92,32.93,11.21,8.49,4.05,26.1,8.9,18.1,13.00,11.87,11.87,100,,49,3.2,,7,0.00,
Josh Okogie,SG/SF,MIN,vs SAC,25,120.50,3700,4,34.6,15.8,1.1,0.70,25.20,13.93,8.74,8.61,17.3,7.1,22.5,22.25,17.13,17.13,100,,45,4.6,Y,26,17.50,4.7
Ed Davis,C,BKN,vs SAS,3,117.25,3600,10.7,38.4,19.7,0.8,1.07,38.67,10.53,7.94,5.78,12.9,3.9,18.4,19.75,22.56,22.56,100,,60,6.3,,21,17.75,4.9
